listing_id,host_since,host_is_superhost,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,host_tenure_days,occupancy,reviews_last_year,city,log_price
1455656325647057805,2014-11-14,0,1.0,Oud-Oost,52.35898,4.92276,Entire loft,Entire home/apt,5,2.0,3.0,3.0,620.0,7,67,0,,f,,3701.0,0.8164383561643835,0.0,amsterdam,6.429719478039138
8798384,2015-10-08,0,1.0,Watergraafsmeer,52.3511,4.94085,Entire rental unit,Entire home/apt,4,1.5,3.0,3.0,181.0,3,131,25,4.88,f,0.22,3373.0,0.6410958904109589,3.0,amsterdam,5.198497031265826
4984717,2014-02-07,1,5.0,Centrum-West,52.3783,4.89263,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,169.0,3,312,192,4.76,f,1.51,3981.0,0.1452054794520547,33.0,amsterdam,5.1298987149230735
15922131,2012-12-23,0,3.0,Centrum-Oost,52.36277,4.88854,Private room in townhouse,Private room,2,1.5,1.0,1.0,159.0,2,145,177,4.82,f,1.65,4392.0,0.6027397260273972,17.0,amsterdam,5.068904202220232
9263993,2013-04-24,0,1.0,De Baarsjes - Oud-West,52.359848273072345,4.862925533118679,Entire condo,Entire home/apt,2,1.0,1.0,1.0,134.0,4,6,59,4.86,f,0.49,4270.0,0.9835616438356164,6.0,amsterdam,4.897839799950911
707179511846809052,2022-09-02,0,1.0,Centrum-West,52.37757,4.89538,Entire condo,Entire home/apt,2,1.5,1.0,1.0,330.0,3,56,17,4.94,f,0.46,852.0,0.8465753424657534,6.0,amsterdam,5.799092654460526
18063880,2017-04-05,0,2.0,De Pijp - Rivierenbuurt,52.34483,4.89754,Entire rental unit,Entire home/apt,4,,3.0,,,3,0,42,4.81,f,0.41,2828.0,1.0,6.0,amsterdam,
24676438,2017-08-07,0,1.0,Bijlmer-Centrum,52.3122,4.95602,Entire rental unit,Entire home/apt,3,,2.0,,,1,0,24,4.75,f,0.27,2704.0,1.0,0.0,amsterdam,
885215539307369433,2016-08-30,0,1.0,De Pijp - Rivierenbuurt,52.35045,4.88873,Entire home,Entire home/apt,2,1.0,1.0,1.0,330.0,3,359,2,5.0,f,0.07,3046.0,0.0164383561643836,0.0,amsterdam,5.799092654460526
1400060380947233562,2015-03-31,0,1.0,De Pijp - Rivierenbuurt,52.35174298628303,4.903955161571503,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1595.0,3,30,2,5.0,f,2.0,3564.0,0.9178082191780822,2.0,amsterdam,7.374629015218945
