listing_id,host_since,host_is_superhost,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,host_tenure_days,occupancy,reviews_last_year,city,log_price
1455656325647057805,2014-11-14,0,1.0,Oud-Oost,52.35898,4.92276,Entire loft,Entire home/apt,5,2.0,3.0,3.0,620.0,7,67,0,4.86,0,0.0,3701.0,0.8164383561643835,0.0,amsterdam,6.431331081933479
8798384,2015-10-08,0,1.0,Watergraafsmeer,52.3511,4.94085,Entire rental unit,Entire home/apt,4,1.5,3.0,3.0,181.0,3,131,25,4.88,0,0.22,3373.0,0.6410958904109589,3.0,amsterdam,5.204006687076795
4984717,2014-02-07,1,5.0,Centrum-West,52.3783,4.89263,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,169.0,3,312,192,4.76,0,1.51,3981.0,0.1452054794520547,33.0,amsterdam,5.135798437050262
15922131,2012-12-23,0,3.0,Centrum-Oost,52.36277,4.88854,Private room in townhouse,Private room,2,1.5,1.0,1.0,159.0,2,145,177,4.82,0,1.65,4392.0,0.6027397260273972,17.0,amsterdam,5.075173815233827
9263993,2013-04-24,0,1.0,De Baarsjes - Oud-West,52.359848273072345,4.862925533118679,Entire condo,Entire home/apt,2,1.0,1.0,1.0,134.0,4,6,59,4.86,0,0.49,4270.0,0.9835616438356164,6.0,amsterdam,4.90527477843843
707179511846809052,2022-09-02,0,1.0,Centrum-West,52.37757,4.89538,Entire condo,Entire home/apt,2,1.5,1.0,1.0,330.0,3,56,17,4.94,0,0.46,852.0,0.8465753424657534,6.0,amsterdam,5.802118375377063
885215539307369433,2016-08-30,0,1.0,De Pijp - Rivierenbuurt,52.35045,4.88873,Entire home,Entire home/apt,2,1.0,1.0,1.0,330.0,3,359,2,5.0,0,0.07,3046.0,0.0164383561643836,0.0,amsterdam,5.802118375377063
1400060380947233562,2015-03-31,0,1.0,De Pijp - Rivierenbuurt,52.35174298628303,4.903955161571503,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1595.0,3,30,2,5.0,0,2.0,3564.0,0.9178082191780822,2.0,amsterdam,7.375255778009755
1457095384104160276,2013-01-03,0,5.0,Geuzenveld - Slotermeer,52.3736062009702,4.812586999999997,Entire townhouse,Entire home/apt,4,2.5,2.0,2.0,198.0,3,81,2,5.0,0,2.0,4381.0,0.7780821917808219,2.0,amsterdam,5.293304824724492
21800921,2014-06-18,1,2.0,Watergraafsmeer,52.33211,4.90139,Private room in houseboat,Private room,4,2.0,2.0,5.0,157.0,2,48,453,4.93,1,4.79,3850.0,0.8684931506849315,58.0,amsterdam,5.062595033026967
896808538258633661,2013-10-17,0,1.0,De Pijp - Rivierenbuurt,52.35681285928799,4.896709019824458,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,184.0,2,222,19,5.0,0,0.7,4094.0,0.3917808219178081,6.0,amsterdam,5.220355825078324
916623263968380558,2014-07-18,1,1.0,Centrum-Oost,52.3585427470905,4.89400751888752,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,185.0,3,80,52,4.98,1,1.95,3820.0,0.7808219178082192,22.0,amsterdam,5.225746673713202
4636051,2014-06-02,0,2.0,Oud-Oost,52.35872,4.90728,Private room in condo,Private room,2,1.5,1.0,2.0,84.0,2,72,200,4.79,0,1.6,3866.0,0.8027397260273973,36.0,amsterdam,4.442651256490317
1147691297463976343,2012-11-19,1,1.0,Noord-West,52.41550059999999,4.9064795,Entire guesthouse,Entire home/apt,4,1.0,2.0,3.0,159.0,1,266,55,4.98,1,3.46,4426.0,0.2712328767123287,37.0,amsterdam,5.075173815233827
1220179857416619677,2015-06-27,0,1.0,Zuid,52.35349295546003,4.849401322068442,Entire home,Entire home/apt,4,3.0,3.0,3.0,490.0,5,60,1,5.0,0,0.22,3476.0,0.8356164383561644,1.0,amsterdam,6.19644412779452
1497616817965789400,2017-05-01,0,2.0,Bos en Lommer,52.3778462,4.851635,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,191.0,2,15,0,4.86,0,0.0,2802.0,0.9589041095890412,0.0,amsterdam,5.2574953720277815
670989644826715509,2015-06-10,0,1.0,De Baarsjes - Oud-West,52.3717235901547,4.848376102745533,Entire condo,Entire home/apt,2,1.5,1.0,1.0,206.0,30,89,3,5.0,0,0.08,3493.0,0.7561643835616438,0.0,amsterdam,5.332718793265369
1451417762783110172,2025-06-25,0,1.0,De Baarsjes - Oud-West,52.3625272,4.8587641,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,151.0,1,199,3,4.0,0,1.84,175.0,0.4547945205479452,3.0,amsterdam,5.0238805208462765
10492761,2011-09-26,0,4.0,Zuid,52.3508415222168,4.8580241203308105,Private room in bed and breakfast,Private room,2,1.0,1.0,0.0,141.0,2,213,39,4.85,0,0.53,4846.0,0.4164383561643835,0.0,amsterdam,4.955827057601261
2647365,2013-02-18,0,5.0,Gaasperdam - Driemond,52.31066,4.99979,Private room in nature lodge,Private room,2,1.0,1.0,1.0,105.0,1,348,154,4.71,1,1.12,4335.0,0.0465753424657534,33.0,amsterdam,4.663439094112067
255809,2011-10-28,1,2.0,De Pijp - Rivierenbuurt,52.34416,4.88709,Private room in villa,Private room,4,1.0,2.0,2.0,279.0,2,314,269,4.89,0,1.65,4814.0,0.1397260273972602,42.0,amsterdam,5.634789603169249
254104,2011-10-25,0,3.0,Centrum-Oost,52.36489868164063,4.90916919708252,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,185.0,2,250,86,4.92,0,0.68,4817.0,0.3150684931506849,5.0,amsterdam,5.225746673713202
968096595002975422,2017-03-06,0,1.0,De Baarsjes - Oud-West,52.36676,4.86477,Entire condo,Entire home/apt,4,2.0,2.0,2.0,500.0,2,127,19,4.84,0,0.79,2858.0,0.6520547945205479,10.0,amsterdam,6.2166061010848646
1156240577336979511,2017-04-01,0,1.0,Zuid,52.3443949,4.8644033,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,243.0,2,11,1,5.0,0,0.07,2832.0,0.96986301369863,0.0,amsterdam,5.497168225293202
804924795709235766,2017-10-25,0,2.0,Slotervaart,52.353719264338174,4.840622191093244,Private room in condo,Private room,1,1.0,1.0,1.0,85.0,5,351,17,4.41,0,0.61,2625.0,0.0383561643835616,6.0,amsterdam,4.454347296253507
1184497136193326756,2015-06-23,0,2.0,De Pijp - Rivierenbuurt,52.35528139584368,4.8897952137350265,Entire home,Entire home/apt,2,2.0,1.0,1.0,271.0,2,42,5,4.0,0,0.55,3480.0,0.8849315068493151,5.0,amsterdam,5.605802066295998
